Genero,Tipo,Nombre,Año estreno,Mes estreno,Id
Drama,Movie,Bright Young Things,2004,5.0,tt0325123
Drama,Movie,Le pacte du silence,2003,3.0,tt0325948
Drama,Movie,Mille mois,2004,6.0,tt0325826
Drama,Movie,Want,2003,2.0,tt0326384
Drama,Movie,Biker Boyz,2003,1.0,tt0326769
Drama,Movie,Liegen lernen,2003,9.0,tt0325734
Drama,Movie,Hunting of Man,2003,3.0,tt0325591
Drama,Movie,Rhinoceros Eyes,2003,9.0,tt0326065
Drama,Movie,Stander,2003,10.0,tt0326208
Drama,Movie,Uncle Nino,2003,10.0,tt0327210
Drama,Movie,The Singing Forest,2003,10.0,tt0327153
Drama,Movie,Good Boy!,2004,5.0,tt0326900
Drama,Movie,Das Wunder von Bern,2004,9.0,tt0326429
Drama,Movie,Io non ho paura,2004,3.0,tt0326977
Drama,Movie,Dnevnik kamikadze,2003,6.0,tt0325269
Drama,Movie,Matchstick Men,2003,9.0,tt0325805
Drama,Movie,Swimming Upstream,2003,2.0,tt0326664
Drama,Movie,Cantando dietro i paraventi,2003,10.0,tt0327546
Drama,Movie,Mystic River,2003,10.0,tt0327056
Drama,Movie,I Am David,2004,11.0,tt0327919
Drama,Movie,Love That Boy,2003,9.0,tt0328078
Drama,Movie,The Last Samurai,2004,1.0,tt0325710
Drama,Movie,Chori Chori,2003,8.0,tt0326805
Drama,Movie,Pas si grave,2003,3.0,tt0325958
Drama,Movie,Secondhand Lions,2003,11.0,tt0327137
Drama,Movie,À la petite semaine,2003,6.0,tt0327259
Drama,Movie,Verschwende deine Jugend,2003,7.0,tt0327227
Drama,Movie,The Road Home,2003,6.0,tt0327116
Drama,Movie,Sahar el layaly,2003,7.0,tt0328349
Drama,Movie,Seis días en la oscuridad,2003,4.0,tt0328175
Drama,Movie,Love Object,2004,9.0,tt0328077
Drama,Movie,Le tango des Rashevski,2004,3.0,tt0328509
Drama,Movie,Under the Tuscan Sun,2003,9.0,tt0328589
Drama,Movie,Les égarés,2004,4.0,tt0329111
Drama,Movie,Arven,2003,2.0,tt0328844
Drama,Movie,King of the Ants,2004,4.0,tt0328031
Drama,Movie,The Technical Writer,2003,1.0,tt0328515
Drama,Movie,Livraison à domicile,2003,7.0,tt0328820
Drama,Movie,Sibelius,2003,9.0,tt0328432
Drama,Movie,The Quality of Light,2003,3.0,tt0328547
Drama,Movie,Bienvenue au gîte,2004,7.0,tt0328890
Drama,Movie,Thirteen,2004,3.0,tt0328538
Drama,Movie,Comme si de rien n'était,2003,12.0,tt0330165
Drama,Movie,"Un homme, un vrai",2003,5.0,tt0329706
Drama,Movie,Hollywood Homicide,2003,6.0,tt0329717
Drama,Movie,The Brown Bunny,2003,11.0,tt0330099
Drama,Movie,J'ai toujours voulu être une sainte,2003,5.0,tt0329232
Drama,Movie,Asylum,2003,1.0,tt0330009
Drama,Movie,The Poet,2003,11.0,tt0329502
Drama,Movie,Dil Ka Rishta,2003,1.0,tt0330217
Drama,Movie,I Witness,2003,4.0,tt0329216
Drama,Movie,Tre punto sei,2003,6.0,tt0331360
Drama,Movie,Mister V.,2003,11.0,tt0329525
Drama,Movie,Devil's Pond,2005,3.0,tt0329162
Drama,Movie,Les sentiments,2003,11.0,tt0329584
Drama,Movie,Any Way the Wind Blows,2003,10.0,tt0331175
Drama,Movie,Firefight,2003,5.0,tt0328868
Drama,Movie,Devot,2003,2.0,tt0331231
Drama,Movie,Bringing Rain,2003,5.0,tt0330094
Drama,Movie,Tillfällig fru sökes,2003,9.0,tt0330989
Drama,Movie,Mambo Italiano,2004,1.0,tt0330602
Drama,Movie,Brother Bear,2004,2.0,tt0328880
Drama,Movie,Capricciosa,2003,8.0,tt0331212
Drama,Movie,Detaljer,2003,10.0,tt0330212
Drama,Movie,The Look,2003,5.0,tt0331559
Drama,Movie,Milchwald,2004,8.0,tt0331698
Drama,Movie,Der Bockerer IV - Prager Frühling,2003,10.0,tt0330073
Drama,Movie,Off the Map,2007,4.0,tt0332285
Drama,Movie,Justice,2003,5.0,tt0332167
Drama,Movie,Sprickorna i muren,2003,2.0,tt0330711
Drama,Movie,L'enfant du pays,2003,8.0,tt0329045
Drama,Movie,Seabiscuit,2004,3.0,tt0329575
Drama,Movie,Pran Jaaye Par Shaan Na Jaaye,2003,5.0,tt0330783
Drama,Movie,Emma & Daniel - Mötet,2003,10.0,tt0330670
Drama,Movie,Cold Creek Manor,2003,9.0,tt0331468
Drama,Movie,Lesní chodci,2003,2.0,tt0330556
Drama,Movie,Monsieur Ibrahim et les fleurs du Coran,2003,9.0,tt0329388
Drama,Movie,16 Years of Alcohol,2004,7.0,tt0331338
Drama,Movie,Haya O Lo Haya,2003,1.0,tt0330375
Drama,Movie,Skin Deep,2003,6.0,tt0330896
Drama,Movie,Armaan,2003,5.0,tt0331851
Drama,Movie,Hotel Lobby,2003,3.0,tt0330412
Drama,Movie,Gerente en dos ciudades,2003,10.0,tt0332075
Drama,Movie,Nowhere to Go But Up,2003,12.0,tt0332281
Drama,Movie,11:14,2005,1.0,tt0331811
Drama,Movie,Milost mora,2003,7.0,tt0332702
Drama,Movie,They Would Love You in France,2003,4.0,tt0331675
Drama,Movie,Kako los son,2003,9.0,tt0332569
Drama,Movie,Intermission,2005,7.0,tt0332658
Drama,Movie,Ispod crte,2003,7.0,tt0332151
Drama,Movie,Kajmak i marmelada,2003,11.0,tt0333701
Drama,Movie,Tu,2003,7.0,tt0334551
Drama,Movie,Wonderland,2003,10.0,tt0335563
Drama,Movie,Emtza HaSeret,2003,,tt0333400
Drama,Movie,Neverné hry,2003,5.0,tt0334575
Drama,Movie,Remake,2003,1.0,tt0334226
Drama,Movie,Rezervni deli,2003,2.0,tt0334237
Drama,Movie,Paloh,2003,7.0,tt0334075
Drama,Movie,The Company,2004,2.0,tt0335013
Drama,Movie,Girl with a Pearl Earring,2004,4.0,tt0335119
Drama,Movie,Travelling Light,2003,9.0,tt0335596
Drama,Movie,Wondrous Oblivion,2004,4.0,tt0334725
Drama,Movie,Lost in Translation,2004,2.0,tt0335266
Drama,Movie,Depuis qu'Otar est parti...,2004,1.0,tt0336264
Drama,Movie,Sjaj u ocima,2003,9.0,tt0335426
Drama,Movie,La petite Lili,2003,8.0,tt0335351
