0,1,2,3,4,5,6,7,8,9,10
tt0100222,Vincent D'Onofrio,Mathilda May,Fernando Rey,Tony Payne,Henry Holmes,Anthony Pratt,Dodi Scheuer,Esai Morales,Cipe Lincovsky,Josh Mostel
tt0100225,Jan Hartl,Bronislav Poloczek,Lenka Termerová,David Matásek,Ivana Chýlková,Jaromír Dulava,Tomás Töpfer,Adam Novák,Filip Novák,Karel Brozek
tt0099446,Michel Serrault,Pierre Romans,Bérangère Bonvoisin,Zbigniew Horoks,Aurore Prieto,Nita Klein,Claude Degliame,Martine Montgermont,Nini Crépon,André Julien
tt0100322,Irina Metlitskaya,Andrey Sokolov,Larisa Guzeeva,Sergey Gazarov,Boris Galkin,Stanislav Sadalskiy,Algis Matulionis,Elena Arzhanik,Aristarkh Livanov,Larisa Tsapusto
tt0099214,Tonie Marshall,Sabine Haudepin,Jacques Bonnaffé,Michel Gautier,Judith Magre,Jean Roquel,Antoinette Moya,Carlo Brandt,Emmanuel Lemoine,Jean-Pierre Olive
tt0100220,Pim de la Parra,Liz Snoyink,Camilla Braaksma,Kenneth Herdigein,Hans Dagelet,Manouk van der Meulen,Jake Kruyer,Marian Mudder,Gert Jan Louwe,Isabella Van Rooy
tt0099502,Peter Fonda,Tia Carrere,Mako,James Mitchum,Ted Markland,Felindo Obach,Joonee Gamboa,Joe Mari Avellana,Chosei Funahara,Nick Nicholson
tt0099221,Michel Dumont,Geneviève Rioux,Guy Thauvette,Patricia Nolin,Lorne Brass,Nelson Villagra,Manuel Aranguiz,Jod Léveillé-Bernard,Béatrice Picard,Jean-Louis Roux
tt0099402,Andrei Boltnev,Sergey Gazarov,Andrey Smolyakov,Anna Nazareva,Lev Perfilov,Sergey Chernov,Tatyana Bedova,Anna Ivanitskaya,Vladimir Naumtsev,Ruslan Angelchuk
tt0099261,Yung Henry Yu,Lee Majors II,Pat McCormick,Fitz Houston,Art Camacho,William Ghent,Susan Frailey,Robert Chen Deer,Brinke Stevens,Paul Gunning
tt0099612,John Hurt,Raul Julia,Nick Brimble,Bridget Fonda,Catherine Rabett,Jason Patric,Michael Hutchence,Catherine Corman,William Geiger,Mickey Knox
tt0100389,Gian Maria Volontè,Ennio Fantastichini,Renato Carpentieri,Tuccio Musumeci,Silverio Blasi,Vitalba Andrea,Giacomo Piperno,Lidia Alfonsi,Renzo Giovampietro,Antonio Appierto
tt0099210,Hector Vega Mauricio,Patricia Rivadeneira,Aldo Parodi,Myriam Palacios,David Olguiser,Rodrigo Gijón,Cecilia Godoy,Rodrigo Peña,Luis Alarcón,Mauricio Pesutic
tt0100293,Marilyn Jones,Jerry Whiddon,Michael Gabel,Erika Bogren,Howard E. Rollins Jr.,David Klein,Larry Woody,Irv Ziff,Susan Allenback,Ted Sutton
tt0099406,Judith Godrèche,Marcel Bozonnet,Thérèse Liotard,Ivan Desny,Thomas Salsmann,Hai Truhong Tu,Malcolm Conrath,Francis Mage,Stéphane Auberghen,Marion Ferry
tt0099850,Richard Gere,Andy Garcia,Nancy Travis,Laurie Metcalf,Richard Bradford,William Baldwin,Michael Beach,Katherine Borowitz,Faye Grant,John Kapelos
tt0099416,Alex Man,Alex Fong,Francis Ng,Sibelle Hu,Carrie Ng,Michiko Nishiwaki,Shui-Wai Au,Siu Cheung,Chuen Chiang,Kwok-Keung Choi
tt0099425,Siu Chung Mok,Wai Lam,Philip Chan,Lung Fei,Ka-Kui Ho,Danny Lee,Ming Yan Lung,Stephen Tsang,Oni Tsuka,Dick Wei
tt0100344,Nick Cheung,King-Kong Lam,Jacqueline Ng,Danny Lee,Ying-Kin Kot,Kim-Chung Lee,Wan-fei Lee,Shih-Erh Chin,Parkman Wong,Fui-On Shing
tt0099226,Mulie Jarju,Eulàlia Ramon,Ahmed El-Maaroufi,Akonio Dolo,Albert Vidal,Rosa Morata,Mamadou Lamine,Ly Babali,M'Barick Guisse,Joaquín Notario
tt0099445,Alan Bates,Jennifer Beals,Jan Niklas,Hanns Zischler,Benoît Régent,Alexander Radszun,Peter Fitz,Daniela Poggi,William Berger,Michael Degen
tt0100251,Andrew Stevens,Tanya Roberts,Cooper Huckabee,Veronica Henson-Phillips,Stephen Meadows,Karen Elise Baldwin,Warwick Sims,Yvette Buchanan,Steven Burks,Paul Carr
tt0099678,Chris Haywood,Gosia Dobrowolska,Paul Chubb,Norman Kaye,Marion Heathfield,Monica Maughan,Robert Menzies,Joey Kennedy,Phillip Green,Sheila Florance
tt0100230,Charlie Bean,Barry Wyatt,Eli Guralnick,Roy Heidicker,Sara,Charles Taylor,Marc D. Williams,Dean Cleverdon,Robert Hudson,David Kinder
tt0099436,Fabrice Luchini,Judith Henry,Maurice Garrel,Marie Bunel,François Toumarkine,Brice Beaugier,Yvette Petit,Nicole Félix,Olivier Achard,Serge Riaboukine
tt0100359,Avraham Asiyo,Ya'ackov Ayali,Nadav Ben-Yehuda,Rami Danon,Elki Jacobs,Alessandra Mussolini,Barak Negbi,Tony Peck,Ze'ev Shimshoni,Shlomo Tarshish
tt0100375,Serge Reggiani,François Négret,Jean-Pierre Bisson,Patrick Bouchitey,Julien Guiomar,Jean-Paul Roussillon,Olivier Martinez,Aurélie Gibert,Bernadette Lafont,Yvonne Andreani
tt0100329,Georgiy Taratorkin,Lyubov Polishchuk,Marina Mayko,Ilya Klimenkov,,,,,,
tt0100432,Alonso Echánove,Gabriela Roel,Ignacio Guadalupe,Jair De Rubin,Ernesto Jesús,Angélica Aragón,José Carlos Ruiz,Mario Almada,Uriel Chávez,Juan de la Loza
tt0097683,Roman Klosowski,Bozena Adamek,Artur Barcis,Bogusz Bilewski,Zbigniew Buczkowski,Stanislawa Celinska,Jerzy Cnota,Wladyslaw Dewoyno,Bozena Dykiel,Antoni Jurasz
tt0100456,Peter O'Toole,Omar Sharif,Christopher Lee,Jude Alderson,Brigitte Barclay,David Boyce,Jane Chaplin,Brian Conway,Carolyn Cortez,Peter Dennis
tt0100345,Ja'net DuBois,Donald Fullilove,Steve Garland,Erica Gimpel,Bruce Glover,Jack Kruschen,Ted Lange,Roxie Roker,Vincent Schiavelli,Teddy Wilson
tt0100463,Kelly Dingwall,Rebecca Rigg,John Polson,Barry Leane,Jan Kingrose,Kate Reid,Sylvia Coleman,,,
tt0097893,Richard Anconina,Hélène de Saint-Père,Wendy Visser,Margret Mazon Oquendo,Allen Hamilton,Brooke Linthicum,Penelope Milford,Mark Hutter,Tim Grimm,Ken Earl
tt0099836,Luca Barbareschi,Nino Manfredi,Jacques Perrin,Elena Sofia Ricci,Alberto Sordi,Massimo Wertmüller,Carlo Croccolo,Luigi De Filippo,Gianni Bonagura,Serena Grandi
tt0100435,Claudio Bonivento,Thywill Amenia,Pamela Villoresi,Jacqueline Williams,Gerardo Scala,Nicola Di Pinto,Franco Interlenghi,Tom Felleghy,Ottaviano Dell'Acqua,Salvatore Billa
tt0100418,Daniel Martin Berkey,Blaire Baron,Gabrielle Made,Novella Nelson,Yvonne Rainer,Alice Spivak,Tyrone Wilson,,,
tt0100476,Felix Mitterer,Viktoria Schubert,August Schmölzer,Angelica Schütz,Antonia Rados,Nikolas Vogel,Georg Hoffmann-Ostenhof,Alain Michel,Jean Marc Jouve,Werner Prinz
tt0100454,Francesco Benigno,Alessandra Di Sanzo,Roberto Mariano,Maurizio Prollo,Alfredo Li Bassi,Salvatore Termini,Filippo Genzardi,Vincenza Attardo,Carlo Berretta,Giuseppe Pirico
tt0100395,Meryl Streep,Shirley MacLaine,Dennis Quaid,Gene Hackman,Richard Dreyfuss,Rob Reiner,Mary Wickes,Conrad Bain,Annette Bening,Simon Callow
tt0100408,Ottavia Piccolo,Massimo Ghini,Barbara De Rossi,Giancarlo Giannini,Gianfranco Manfredi,Gioia Scola,Leo Gullotta,Remo Girone,Alessandro Borelli,Galeazzo Benti
tt0098548,Masato Furuoya,Kyôzô Nagatsuka,Akira Emoto,Naoto Takenaka,Saburô Taihei,Fumio Tokita,Norihei Miki,Yoshimi Ashikawa,Haruko Mabuchi,Minori Terada
tt0100363,Gosia Dobrowolska,Sean Scully,,,,,,,,
tt0100429,Pantelis Trivizas,Vasilis Kolovos,Dimitra Hatoupi,Amalia Giza,Kostoula Tsellou,Giannis Alexopoulos,Lina Gerardi,Katerina Kalomiri,Avgoustos Kapogiannis,Fotis Karvelas
tt0098030,Rolan Bykov,Natalya Gundareva,Svetlana Kryuchkova,Elena Sanaeva,Margarita Terekhova,Yuriy Demich,Leonid Kuravlyov,Rodion Nakhapetov,Oleg Tabakov,Vyacheslav Tsoy
