Tyler Gannon,No data,"['Thumbsucker', 'Madre adolescente', '1998', '2004', '2004']","['Reparto', 'Guion']",Sin oscar
Liubov Liubcheva,1976,[''],['Reparto'],Sin Oscar
George Woodard,No data,[''],"['Reparto', 'Dirección', 'Guion']",Más en IMDbPro
Matias Varela,1980,[''],['Reparto'],Sin Oscar
Reynald Bouchard,1946,"['Los modernos', 'La guêpe', 'La viuda de Saint-Pierre', 'La verdadera naturaleza de Bernadette']",['Reparto'],Sin oscar
Harrison Chad,1992,"['Dora la exploradora', '2000–2009 • 101 episodios', '2004', '2013', '2003']","['Reparto', 'Música', 'Equipos adicionales']",Sin Oscar
Shantell Herndon,No data,"['Ley y orden: Unidad de Víctimas Especiales', '1999 • 1 episodio', '2003', 'Jennie', 'Classroom Girl #1']",['Reparto'],Sin oscar
Luis Brandoni,1940,[''],"['Reparto', 'Guion']",Sin Oscar
Gill Baker,No data,['Mickey'],['Reparto'],Sin oscar
Kevin Kline,1947,[''],"['Reparto', 'Dirección', 'Producción']",Ganó 1 premio Óscar
George Burgos,No data,"['Boricua', 'Hispanic Youth Showcase 2010']",['Reparto'],Sin oscar
Blake Heron,1982,[''],"['Reparto', 'Cámara y electricidad', 'Dirección de fotografía y cámara']",Sin Oscar
Stéphane Freiss,1960,[''],"['Reparto', 'Guion', 'Dirección']",Sin Oscar
Aureliano Amadei,1975,"['20 sigarette', 'Il leone di Orvieto', 'Looking for Monica', 'Il pendolo']","['Guion', 'Dirección', 'Reparto']",Sin Oscar
Michael Putschli,No data,"['Die Motorrad-Cops: Hart am Limit', '2001 • 1 episodio', 'Max', 'Otto Braun']",['Reparto'],Sin oscar
Jonathan Brandis,1976,[''],"['Reparto', 'Equipos adicionales', 'Dirección']",Sin Oscar
Annu Kapoor,1956,[''],"['Reparto', 'Música', 'Dirección']",Sin Oscar
Amy Ryder,No data,"['Érase una vez en América', 'Doble impacto', 'Nunca me han besado', 'Mamá a la fuerza']","['Arte', 'Reparto']",Sin Oscar
Joel Michaely,No data,[''],"['Reparto', 'Producción', 'Casting']",Más en IMDbPro
Zlata Adamovská,1959,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Jonathan Zaccaï,1970,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
Emmanuelle Devos,1964,[''],"['Reparto', 'Guion', 'Dirección']",Sin Oscar
Remesh Panicker,No data,"['Cyber Wars', 'Swargathile Katturumbu', 'Guion', 'Dr. Roshan Manik']","['Reparto', 'Guion', 'Producción']",Sin Oscar
Antonia Cornin-Navarro,No data,"['Como una imagen', 'Le rôle de sa vie']",['Reparto'],Sin oscar
Izudin Bajrovic,1963,[''],['Reparto'],Sin Oscar
Aleksandr Medvedev,1968,"['Orlando', 'En el lugar del crimen', '1998 • 1 episodio', '2006', 'Vlad']","['Reparto', 'Dirección de producción']",Sin oscar
Andrea Kelland,No data,"['Treasure Island Kids: The Monster of Treasure Island', 'El joven Hércules', '1999 • 1 episodio', ""Mick's Mom"", 'Serie de TV']","['Reparto', 'Dirección de casting']",Sin oscar
Daniel Asher,No data,"['Fría ambición', 'Last Letters from Monte Rosa', 'Ice Grill, U.S.A.', 'Días de sangre y fuego']",['Reparto'],Más en IMDbPro
Mirsad Elezi,1966,"['Quo vadis, Aida?', 'Verso est', 'The Horseman', 'Songs of wind']",['Reparto'],Sin oscar
Keertana,No data,['Indiano Jones y el agua de la eternidad'],['Reparto'],Sin oscar
Stéphanie Lagarde,1969,"['Feu mon corps', '7,0', 'La photocopie de Papa', 'Le bouillon', '2012']","['Reparto', 'Guion', 'Dirección']",Sin oscar
Jean-Pierre Léaud,1944,[''],"['Reparto', 'Dirección de la segunda unidad o asistencia a dirección', 'Dirección']",Nominado a 1 premio BAFTA
László Sinkó,1940,"['La ciudad de los gatos', 'Un puente sobre el Danubio', 'Szekrénymesék', 'VII. Olivér']",['Reparto'],Sin oscar
Giovannie Espiritu,1988,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
Tamara Hope,1984,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Michael Mendl,1944,[''],['Reparto'],Sin Oscar
Jesica Gambarte,No data,['Una de dos'],['Reparto'],Sin oscar
Vuk Kostic,1979,"['Tiro al blanco', 'Mala nocna muzika', 'Dara of Jasenovac', 'Ubice mog oca', '2016–2023 • 67 episodios']","['Reparto', 'Producción', 'Banda sonora']",Sin Oscar
Tom Lonchampt,No data,['Pas sages'],['Reparto'],Sin oscar
Judit Rezes,1977,[''],['Reparto'],Sin oscar
Toshiyuki Morikawa,1967,"['Final Fantasy VII - Advent Children', 'Berserk', '1997–1998 • 23 episodios', 'TorinKyoryu SilverMad Torin', 'Kagaya Ubuyashiki(voz)']","['Reparto', 'Dirección', 'Guion']",Sin Oscar
Antara Mali,1975,[''],"['Reparto', 'Guion', 'Dirección']",Sin Oscar
James Morrison,abril,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
Ivan Denker,No data,['Humans Being'],['Reparto'],Sin oscar
Jimmy Keen,2011,[''],['Reparto'],Sin oscar
Elizaveta Kuznetsova,1988,['Nyfes'],['Reparto'],Sin oscar
Sarah Secher Ernst,1975,"['Skjulte spor', '2003 • 1 episodio', '2004', '2005', 'Narkoluder Bettina']",['Reparto'],Sin oscar
