0,1,2,3,4
Alyasi Waleed,No data,['Match'],['Producción'],Sin oscar
Amit Behl,1942,"['Sharpe', '2008 • 2 episodios', '2016', '2004', '2010']",['Reparto'],Sin oscar
Kornelia Baron,No data,['Das Beziehungskonto'],['Reparto'],Sin oscar
Christopher Berry,No data,[''],['Reparto'],Sin oscar
Scarlett Johansson,1984,[''],"['Reparto', 'Producción', 'Dirección']",Nominado para 2 premios Óscar
Anna-Marie John,No data,['Back to Freeport'],['Reparto'],Sin oscar
Gregory Alan Williams,junio,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
Colby Minifie,1992,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Zurab Antelava,No data,['Khibula'],['Reparto'],Sin oscar
Lucia Walters,No data,[''],['Reparto'],Sin Oscar
Mica Garcia,No data,"['Sakaling hindi makarating', 'A Lotto Like Love', 'Equipos adicionales(Unitel)', 'Equipos adicionales(Unitel)']",['Equipos adicionales'],Sin oscar
Jared Abrahamson,1987,[''],"['Reparto', 'Producción']",Sin Oscar
Angie Milliken,No data,[''],['Reparto'],Sin Oscar
Lara Grice,1971,[''],['Reparto'],Sin oscar
Justin McCammom,No data,['1 Mile to You'],['Reparto'],Sin oscar
Vincent X. Hall,No data,[''],['Reparto'],Sin oscar
Benjamin Dane,julio,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
Ivan Franek,1965,[''],['Reparto'],Sin Oscar
Ricardo Pereira,1979,[''],"['Reparto', 'Edición']",Sin Oscar
Bryce Gheisar,2004,[''],"['Reparto', 'Dirección']",Sin oscar
Kate Siegel,1982,[''],"['Reparto', 'Guion', 'Maquillaje']",Sin Oscar
Kencho Wangdi,No data,"['Baeyul, the Hidden Paradise', '7,4', 'Película de TV']",['Reparto'],Sin oscar
Janey Robideau,No data,"['Capgras', 'Between the Lines', 'Soda Jerks', 'Wingboys']",['Reparto'],Sin oscar
Judy Greer,1975,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
Ashley R Woods,No data,"['The Antwerp Dolls', 'The Unseen', 'Bulletproof', '2018 • 1 episodio', '2015']",['Reparto'],Sin oscar
Aaron Picasso,No data,"['Graffiti', '2008 • 100 episodios', ""Jaimito González FloresJaime 'Jaimito' González""]",['Reparto'],Sin oscar
Soorya,No data,"['Janakeeya Kodathi', '7,2', '7,8', 'Reparto']",['Reparto'],Sin oscar
Earthquake,1963,[''],"['Reparto', 'Guion', 'Producción']",Sin oscar
Bob Patmore,No data,['Gatwick Gangsters'],['Reparto'],Sin oscar
Behrouz Behnejad,No data,"['Hayahoo', 'Shab-shekan', 'Faryad-e zir-e ab', 'Berehne ta zohr ba sorat']",['Reparto'],Sin oscar
Michael Jackson,1958,[''],"['Music Artist', 'Reparto', 'Composición']",Nominado para 2 premios Primetime Emmy
Isabella Kai,2006,[''],['Reparto'],Sin Oscar
Dhruvin Shah,No data,[''],"['Reparto', 'Producción']",Sin oscar
Max Palmer,1927,[''],['Reparto'],Sin oscar
Iyad Hajjaj,No data,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
Ikram Aoulad,No data,"['Black-out', '2020–2021 • 7 episodios', '2014', '2017', 'Mel']","['Reparto', 'Equipos adicionales']",Sin oscar
Saffron Mazzia,No data,"['The Golden Age', 'Passions', '2008 • 3 episodios', '2014']",['Reparto'],Sin oscar
Zach Woods,1984,[''],"['Reparto', 'Guion', 'Dirección']",Sin Oscar
Jonas Karlsson,1971,[''],"['Reparto', 'Guion', 'Música']",Sin Oscar
Aja Naomi King,1985,[''],['Reparto'],Sin Oscar
Harish Raj,No data,"['Pretha the Unexplained', '2009', 'Sri Sathyanarayana']","['Reparto', 'Dirección', 'Guion']",Sin Oscar
Amber Bogdewiecz,No data,"['Retina', 'Redrum', '2014 • 1 episodio', ""There's Always Tomorrow""]",['Reparto'],Sin oscar
