,fecha,num_cancelados,num_no_cancelados,tasa
60,11-2-2016,29,67,0.3
61,11-2-2017,35,87,0.29
62,11-3-2016,47,130,0.27
63,11-3-2017,65,97,0.4
64,11-4-2016,53,126,0.3
65,11-4-2017,31,99,0.24
66,11-5-2016,25,99,0.2
67,11-5-2017,70,120,0.37
68,11-6-2016,26,79,0.25
69,11-6-2017,71,128,0.36
70,11-7-2015,41,59,0.41
71,11-7-2016,68,106,0.39
72,11-7-2017,59,104,0.36
73,11-8-2015,51,81,0.39
74,11-8-2016,69,91,0.43
75,11-8-2017,44,72,0.38
76,11-9-2015,76,128,0.37
77,11-9-2016,49,116,0.3
78,12-1-2016,20,53,0.27
79,12-1-2017,33,84,0.28
80,12-10-2015,44,156,0.22
81,12-10-2016,96,143,0.4
82,12-11-2015,19,43,0.31
83,12-11-2016,50,89,0.36
84,12-12-2015,2,38,0.05
85,12-12-2016,22,54,0.29
86,12-2-2016,149,145,0.51
87,12-2-2017,63,103,0.38
88,12-3-2016,29,97,0.23
89,12-3-2017,32,78,0.29
90,12-4-2016,65,87,0.43
91,12-4-2017,39,83,0.32
92,12-5-2016,75,140,0.35
93,12-5-2017,47,90,0.34
94,12-6-2016,121,86,0.58
95,12-6-2017,62,97,0.39
96,12-7-2015,26,34,0.43
97,12-7-2016,43,88,0.33
98,12-7-2017,50,105,0.32
99,12-8-2015,47,81,0.37
100,12-8-2016,52,111,0.32
101,12-8-2017,56,114,0.33
102,12-9-2015,83,97,0.46
103,12-9-2016,44,117,0.27
104,13-1-2016,19,40,0.32
105,13-1-2017,21,57,0.27
106,13-10-2015,20,78,0.2
107,13-10-2016,160,136,0.54
108,13-11-2015,30,28,0.52
109,13-11-2016,23,88,0.21
110,13-12-2015,4,13,0.24
111,13-12-2016,12,63,0.16
112,13-2-2016,32,148,0.18
113,13-2-2017,36,140,0.2
114,13-3-2016,21,82,0.2
115,13-3-2017,74,123,0.38
116,13-4-2016,50,103,0.33
117,13-4-2017,98,121,0.45
118,13-5-2016,117,98,0.54
119,13-5-2017,61,101,0.38
120,13-6-2016,28,95,0.23
121,13-6-2017,33,83,0.28
122,13-7-2015,37,39,0.49
123,13-7-2016,28,83,0.25
124,13-7-2017,48,134,0.26
125,13-8-2015,38,51,0.43
126,13-8-2016,99,105,0.49
127,13-8-2017,49,85,0.37
128,13-9-2015,12,50,0.19
129,13-9-2016,18,134,0.12
130,14-1-2016,71,76,0.48
131,14-1-2017,76,93,0.45
132,14-10-2015,4,67,0.06
133,14-10-2016,45,135,0.25
134,14-11-2015,5,33,0.13
135,14-11-2016,24,114,0.17
136,14-12-2015,3,33,0.08
137,14-12-2016,11,65,0.14
138,14-2-2016,35,73,0.32
139,14-2-2017,40,94,0.3
140,14-3-2016,24,101,0.19
141,14-3-2017,53,102,0.34
142,14-4-2016,116,74,0.61
143,14-4-2017,85,117,0.42
144,14-5-2016,42,101,0.29
145,14-5-2017,30,129,0.19
146,14-6-2016,123,86,0.59
147,14-6-2017,48,89,0.35
148,14-7-2015,24,22,0.52
149,14-7-2016,52,85,0.38
150,14-7-2017,45,77,0.37
151,14-8-2015,184,109,0.63
152,14-8-2016,44,90,0.33
153,14-8-2017,59,93,0.39
154,14-9-2015,33,108,0.23
155,14-9-2016,34,85,0.29
156,15-1-2016,23,61,0.27
157,15-1-2017,11,48,0.19
158,15-10-2015,63,176,0.26
159,15-10-2016,68,51,0.57
160,15-11-2015,4,24,0.14
161,15-11-2016,14,72,0.16
162,15-12-2015,11,25,0.31
163,15-12-2016,32,48,0.4
164,15-2-2016,15,69,0.18
165,15-2-2017,23,116,0.17
166,15-3-2016,44,92,0.32
167,15-3-2017,79,102,0.44
168,15-4-2016,54,100,0.35
169,15-4-2017,110,96,0.53
170,15-5-2016,55,125,0.31
171,15-5-2017,171,116,0.6
172,15-6-2016,127,125,0.5
173,15-6-2017,70,107,0.4
174,15-7-2015,50,52,0.49
175,15-7-2016,45,86,0.34
176,15-7-2017,91,152,0.37
177,15-8-2015,78,98,0.44
178,15-8-2016,60,100,0.38
179,15-8-2017,57,92,0.38
180,15-9-2015,52,77,0.4
181,15-9-2016,109,168,0.39
182,16-1-2016,20,51,0.28
183,16-1-2017,32,139,0.19
184,16-10-2015,197,125,0.61
185,16-10-2016,115,141,0.45
186,16-11-2015,11,62,0.15
187,16-11-2016,33,93,0.26
188,16-12-2015,2,36,0.05
189,16-12-2016,58,77,0.43
190,16-2-2016,11,67,0.14
191,16-2-2017,36,77,0.32
192,16-3-2016,26,92,0.22
193,16-3-2017,39,114,0.25
194,16-4-2016,54,114,0.32
195,16-4-2017,64,82,0.44
196,16-5-2016,66,142,0.32
197,16-5-2017,42,81,0.34
198,16-6-2016,47,84,0.36
199,16-6-2017,80,89,0.47
200,16-7-2015,40,39,0.51
201,16-7-2016,64,103,0.38
202,16-7-2017,48,97,0.33
203,16-8-2015,23,67,0.26
204,16-8-2016,56,105,0.35
205,16-8-2017,84,97,0.46
206,16-9-2015,48,111,0.3
207,16-9-2016,93,113,0.45
208,17-1-2016,5,30,0.14
209,17-1-2017,8,57,0.12
210,17-10-2015,63,61,0.51
211,17-10-2016,94,104,0.47
212,17-11-2015,16,74,0.18
213,17-11-2016,45,91,0.33
214,17-12-2015,6,40,0.13
215,17-12-2016,27,77,0.26
