,adr,num_cancelados,num_no_cancelados,tasa
661,80.3,1,65,0.02
662,80.39,1,3,0.25
663,80.4,2,4,0.33
664,80.44,1,1,0.5
665,80.47,1,3,0.25
666,80.57,1,1,0.5
667,80.67,1,1,0.5
668,80.7,3,1,0.75
669,80.75,85,304,0.22
670,80.76,2,5,0.29
671,80.8,1,7,0.12
672,80.85,2,23,0.08
673,81.0,137,291,0.32
674,81.08,2,13,0.13
675,81.09,2,3,0.4
676,81.2,1,15,0.06
677,81.25,3,15,0.17
678,81.3,1,4,0.2
679,81.43,1,4,0.2
680,81.45,2,2,0.5
681,81.5,5,16,0.24
682,81.55,1,2,0.33
683,81.6,5,13,0.28
684,81.67,1,17,0.06
685,81.7,2,3,0.4
686,81.76,2,7,0.22
687,81.77,1,15,0.06
688,81.81,2,4,0.33
689,81.82,4,7,0.36
690,81.86,1,3,0.25
691,81.9,37,54,0.41
692,82.0,66,152,0.3
693,82.03,1,1,0.5
694,82.07,1,1,0.5
695,82.11,2,1,0.67
696,82.13,6,4,0.6
697,82.2,1,3,0.25
698,82.28,2,3,0.4
699,82.29,1,3,0.25
700,82.33,1,3,0.25
701,82.35,1,12,0.08
702,82.4,1,10,0.09
703,82.44,4,12,0.25
704,82.45,25,68,0.27
705,82.47,1,6,0.14
706,82.5,4,11,0.27
707,82.67,1,3,0.25
708,82.69,1,3,0.25
709,82.72,1,1,0.5
710,82.73,1,1,0.5
711,82.76,1,1,0.5
712,82.79,2,1,0.67
713,82.8,18,20,0.47
714,82.88,20,25,0.44
715,82.94,1,1,0.5
716,82.95,1,4,0.2
717,82.96,1,1,0.5
718,83.0,8,90,0.08
719,83.01,1,1,0.5
720,83.03,3,2,0.6
721,83.05,1,2,0.33
722,83.06,2,1,0.67
723,83.09,1,2,0.33
724,83.16,3,23,0.12
725,83.2,4,10,0.29
726,83.25,2,1,0.67
727,83.3,12,21,0.36
728,83.4,2,1,0.67
729,83.43,7,2,0.78
730,83.5,3,16,0.16
731,83.55,2,2,0.5
732,83.58,3,3,0.5
733,83.6,3,8,0.27
734,83.61,1,5,0.17
735,83.66,2,4,0.33
736,83.7,4,15,0.21
737,83.71,1,2,0.33
738,83.85,1,6,0.14
739,83.9,1,17,0.06
740,83.93,1,4,0.2
741,84.0,132,229,0.37
742,84.05,1,1,0.5
743,84.15,11,17,0.39
744,84.21,1,1,0.5
745,84.24,5,1,0.83
746,84.3,3,2,0.6
747,84.32,1,1,0.5
748,84.33,1,17,0.06
749,84.39,1,2,0.33
750,84.4,1,1,0.5
751,84.43,2,6,0.25
752,84.47,4,1,0.8
753,84.5,2,18,0.1
754,84.55,2,2,0.5
755,84.57,1,1,0.5
756,84.58,1,13,0.07
757,84.6,36,18,0.67
758,84.67,1,3,0.25
759,84.69,1,3,0.25
760,84.7,4,15,0.21
761,84.8,1,23,0.04
762,84.9,3,4,0.43
763,85.0,565,952,0.37
764,85.03,1,3,0.25
765,85.05,1,6,0.14
766,85.14,1,1,0.5
767,85.16,1,1,0.5
768,85.2,1,6,0.14
769,85.24,2,1,0.67
770,85.25,2,2,0.5
771,85.29,2,3,0.4
772,85.33,3,51,0.06
773,85.5,129,234,0.36
774,85.59,1,13,0.07
775,85.6,5,10,0.33
776,85.67,1,174,0.01
777,85.68,1,2,0.33
778,85.75,6,12,0.33
779,85.8,6,7,0.46
780,85.85,13,18,0.42
781,85.86,1,3,0.25
782,86.0,174,178,0.49
783,86.1,1,5,0.17
784,86.14,1,1,0.5
785,86.16,1,1,0.5
786,86.2,1,5,0.17
787,86.25,2,5,0.29
788,86.28,1,4,0.2
789,86.29,2,1,0.67
790,86.3,1,1,0.5
791,86.36,3,11,0.21
792,86.4,46,55,0.46
793,86.5,7,17,0.29
794,86.58,2,1,0.67
795,86.62,5,3,0.62
796,86.63,6,21,0.22
797,86.7,13,19,0.41
798,86.75,8,9,0.47
799,86.8,1,2,0.33
800,86.82,1,4,0.2
801,86.88,1,1,0.5
802,86.9,2,9,0.18
803,86.92,1,1,0.5
804,86.98,1,1,0.5
805,87.0,51,253,0.17
806,87.04,1,5,0.17
807,87.05,4,4,0.5
808,87.13,5,5,0.5
809,87.2,1,10,0.09
810,87.3,31,50,0.38
811,87.31,1,2,0.33
812,87.33,1,2,0.33
813,87.48,1,2,0.33
814,87.5,3,31,0.09
815,87.55,1,7,0.12
816,87.67,1,9,0.1
817,87.69,1,5,0.17
818,87.75,5,10,0.33
819,87.78,3,25,0.11
820,87.9,3,5,0.38
821,87.98,1,1,0.5
822,88.0,165,394,0.3
823,88.2,32,81,0.28
824,88.27,1,1,0.5
825,88.29,2,6,0.25
826,88.33,3,4,0.43
827,88.39,1,2,0.33
828,88.4,119,160,0.43
829,88.5,12,24,0.33
830,88.56,1,9,0.1
831,88.6,1,3,0.25
832,88.61,1,1,0.5
833,88.65,1,1,0.5
834,88.67,1,3,0.25
835,88.74,3,3,0.5
836,88.75,1,2,0.33
837,88.76,1,4,0.2
838,88.77,1,7,0.12
839,88.8,2,12,0.14
840,88.83,5,8,0.38
841,88.84,1,1,0.5
842,88.9,1,9,0.1
843,88.98,1,2,0.33
844,89.0,318,395,0.45
845,89.06,2,1,0.67
846,89.08,1,1,0.5
847,89.1,215,391,0.35
848,89.17,1,4,0.2
849,89.2,14,19,0.42
850,89.25,78,134,0.37
851,89.3,2,22,0.08
852,89.32,1,5,0.17
853,89.39,1,1,0.5
854,89.4,5,18,0.22
855,89.5,4,18,0.18
856,89.54,1,3,0.25
857,89.59,1,4,0.2
858,89.67,2,3,0.4
859,89.7,3,3,0.5
860,89.74,1,1,0.5
861,89.75,1,21,0.05
862,89.76,2,4,0.33
863,89.78,1,4,0.2
864,89.89,6,11,0.35
865,89.91,1,2,0.33
866,89.97,1,1,0.5
867,90.0,1441,963,0.6
868,90.05,2,2,0.5
869,90.09,2,19,0.1
870,90.1,26,80,0.25
871,90.17,1,2,0.33
872,90.23,2,3,0.4
873,90.25,2,9,0.18
874,90.3,2,12,0.14
875,90.33,3,8,0.27
876,90.45,2,3,0.4
877,90.5,1,10,0.09
878,90.6,5,12,0.29
879,90.63,1,2,0.33
880,90.64,2,2,0.5
881,90.67,5,45,0.1
882,90.71,1,7,0.12
883,90.86,1,3,0.25
884,90.9,46,74,0.38
885,90.95,90,235,0.28
886,91.0,43,169,0.2
887,91.08,1,1,0.5
888,91.13,1,3,0.25
889,91.15,1,1,0.5
890,91.2,10,19,0.34
891,91.25,1,3,0.25
892,91.3,1,2,0.33
