tt0287624,Kiefer Sutherland,Nastassja Kinski,Alun Armstrong,Thomas Heinze,Chris Haywood,Nicholas Hope,Marco Andreacchio,Karel Belohradský,Jana Bittnerová,Sarah Lina Brown
tt0289176,Eishy Hayata,Lucho Velasco,Juan Pablo Shuk,John K. Anderson,Gustavo Angarita Jr.,,,,,
tt0287669,Wendy English,Dixie Tucker,Victoria Anne LeBlanc,Joe Walker,Chad Safar,Walter Tucker,Scott Rudolph,Kip Ellwood,Josette Taylor Hughes,Paula Ronquille
tt0288330,Anna Geislerová,György Cserhalmi,Ivan Trojan,Jaroslava Adamová,Miroslav Donutil,Jaroslav Dusek,Iva Bittová,Jan Hrusínský,Anna Vertelárová,Tomás Zatecka
tt0289635,Ewan McGregor,Tilda Swinton,Peter Mullan,Emily Mortimer,Jack McElhone,Therese Bradley,Ewan Stewart,Stuart McQuarrie,Pauline Turner,Alan Cooke
tt0289889,Julia Stiles,Shirley MacLaine,Alessandro Nivola,Randy Quaid,Edward Atterton,Azura Skye,Mika Boorem,Jennifer Coolidge,Alan Thicke,John Capodice
tt0289992,Kevin Spacey,Kate Winslet,Laura Linney,Cleo King,Constance Jones,Lee Ritchey,Gabriel Mann,Matt Craven,Brandy Little,Cindy Waite
tt0292527,Vikram Dasu,Purva Bedi,Deep Katdare,Chayton Arvin,Robert Lin,Subash Kundanmal,Srinath Sampath,Aatif Khan,Crystal Parzik,Lynn Oh
tt0291121,Joanna Pacula,Jack Wagner,Katrina Browne,Glen Drake,Judy Rankin,Noel Appleby,Julia Ryan,Gilbert Goldie,Terri De'ath,Geoff Snell
tt0290555,Janet Kidder,Paul Johansson,Jason Priestley,Patsy Kensit,Justine Priestley,Michael Bach,Carolyn Goff,Rod Wilson,Dominic Cuzzocrea,Miranda Reeves
tt0293495,Thomas Kretschmann,Charlton Heston,F. Murray Abraham,Thomas Heinze,Denise Weinberg,Odilon Wagner,Camilo Beviláqua,Petra Reinhardt,Marit Nissen,Ivan de Almeida
tt0290862,Amadou Bourou,Pousson Lionel Bado,Mama Sylla,Abdoulaye Alain Traoré,Célestin Zongo,Djénéba Dao,Alassane Dakissaga,Albert Bilgho,Abdoulaye Komboudri,Joseph Traoré
tt0292496,Jorja Fox,Ted Kairys,Joshua Leonard,Johnny Navarro,James Remar,Jerry Stahl,Maria von Hartz,,,
