tt0110476,Viktor Rakov,Anastasiya Vertinskaya,Nikolay Burlyaev,Mikhail Ulyanov,Valentin Gaft,Aleksandr Filippenko,Vladimir Steklov,Viktor Pavlov,Aleksandra Zakharova,Sergey Garmash
tt0416213,Andreas Müller,Ilka Welz,Anett Dornbusch,Erika Lemke,Markus Werner,Doritha Richter,Detlef Baumann,Ilse Lausch,Harald Kuchenbecker,Jan Günzel
tt0416449,Gerard Butler,Lena Headey,David Wenham,Dominic West,Vincent Regan,Michael Fassbender,Tom Wisdom,Andrew Pleavin,Andrew Tiernan,Rodrigo Santoro
tt0416737,Lucia Antonia,Raoul Bova,Paolo Calabresi,Stefano Corsi,Donatella Finocchiaro,Max Giusti,Simona Nasi,Romolo Passini,Paolo Sena,Francesca Vettori
tt0416871,Tommi Eronen,Markku Peltola,Jingchu Zhang,Krista Kosonen,Hao Dang,Taishen Cheng,Elle Kull,Liansheng Tong,Qiupu Tao,Xiaomei Tong
tt0417225,André 3000,Big Boi,Terrence Howard,Paula Patton,Faizon Love,Malinda Williams,Cicely Tyson,Macy Gray,Ben Vereen,Paula Jai Parker
tt0417477,Jessica Anderson,Rose Bancroft,Jim Belushi,Steven Bernstein,Denise Boutte,Jimmy Brogan,J.R. Cacia,Terry Crews,Kimberly Fisher,Patrice Fisher
tt0417046,Kristoffer Joner,Ane Dahl Torp,Anne Ryg,Jan Gunnar Røise,Stig Henrik Hoff,Fridtjov Såheim,Silje Torp,Jon Øigarden,Elin Sogn,Henriette Steenstrup
tt0417433,James Franco,Jordana Brewster,Tyrese Gibson,Donnie Wahlberg,Macka Foley,Jim Parrack,Brian Goodman,Billy Finnigan,Katie Hein,Jimmy Lin
tt0417614,Agnes Bruckner,Kelli Garner,Justin Long,John Corbett,Gina Gershon,Brian Klugman,Chris Mulkey,Luce Rains,Olive Bureker,Sherry Lynette
tt0417871,John Malkovich,Veronica Ferres,Stephen Dillane,Saffron Burrows,Sandra Ceccarelli,Nikolai Kinski,Aglaia Szyszkowitz,Joachim Bißmeier,Ernst Stötzner,Paul Hilton
tt0418115,Max Riemelt,Jessica Schwarz,Ronald Zehrfeld,Ingeborg Westphal,Devid Striesow,Kathrin Angerer,Tanja Schleiff,Volker Zack,Klaus Manchen,Heiko Senst
tt0418020,John Schuk,David Dempster,Jacob Pitts,Matthew Carey,Julian Rojas,Roy Dumont,Frank Langella,Alan Arkin,Amy Acker,Shontina Vernon
tt0419146,Trine Dyrholm,David Dencik,Frank Thiel,Elsebeth Steentoft,Christian Tafdrup,Pauli Ryberg,Jacob Lohmann,Claes Bang,Fine,Christian Mosbæk
