tt0213905,Luis Margani,Daniel Valenzuela,Adriana Aizemberg,Federico Esquerro,Graciana Chironi,Roly Serrano,Alfonso Rementería,Oscar Alegre,Mario Núñez,Adriana Ferro
tt0211714,Jean-Pierre Marielle,Anne Parillaud,Alessandra Martines,Marianne Denicourt,Alice Evans,Olivia Bonamy,Samy Naceri,François Perrot,Rüdiger Vogler,Anouk Aimée
tt0213969,Shivaji Ganesan,Rajinikanth,Ramya Krishnan,Soundarya,Abbas,Lakshmi,Manivannan,Radha Ravi,Sithara,Nassar
tt0212537,Abbott Alexander,Lisa Waltz,Lou Wagner,Sally Kirkland,Brian Drillinger,Lesley Woods,John Fink,Denice Marcel,Leonard Ross,Philip Abbott
tt0214150,Kevin Causey,Nancy St. Alban,Rik Nagel,Clarke Bittner,Nina Howie,John Rowe Jr.,Nigel John Rowe,Bridget Barkan,Dorothea Harahan,Garland Hunter
tt0215369,Jiayi Du,Zheng Fang,Bing He,Wu Jiang,Ding Li,Cunxin Pu,Xu Zhu,,,
tt0215163,Antonio Molero,Guillermo Toledo,Sonia Jávaga,Ernesto Arango,Enriqueta Carballeira,Carmen del Valle,Antonio Castro,Javivi,César Abades,Ángel Alonso
tt0215069,Denise Fraga,Luís Melo,Pedro Cardoso,Marisa Orth,Ester Góes,Gianni Ratto,Maria Assunção,Nilton Bicudo,Thânia Castello,Angela Dippe
tt0215919,Wolfgang Völz,Edgar Hoppe,Helge Schneider,Felix Beyerbach,Kurt Stukenberg,Sabine Bohlmann,Robert Missler,Monty Arnold,Gerlach Fiedler,Michael Schaack
tt0214931,Aftab Shivdasani,Urmila Matondkar,Dalip Tahil,Smita Jaykar,Govind Namdeo,Antara Mali,Sheetal Suvarna,Raju Mavani,Neeraj Vora,Snehal Dabi
tt0215010,Travis Mullenix,Satoru Jitsunashi,Jason C. Kane,Masumi Kuichi,Nao Nekota,Yôji Tanaka,,,,
tt0215557,Chris Albanese,Leila Arcieri,Richard Balin,Derek Basco,Raquel Burton,Jim Calloway,Lavell Crawford,Andraé Crouch,Matt Flanders,Jamar French
tt0215383,Alberto San Juan,Natalia Dicenta,Eduard Fernández,Paz Vega,Idoia Bilbao,Fanny Condado,Joshean Mauleón,Guillermo Toledo,Alicia Cifredo,Zywila Pietrzak
tt0215816,Kristoffer Hatlestad,Even von Porat Fiane,Thomas Johansen Grim,Eva Sørensen,,,,,,
tt0216041,Lino D'Angiò,Alan De Luca,Christiane Filangieri,Nuccia Fumo,Stefano Bambini,Olimpia Di Maio,Tullio Del Matto,Peppino Di Capri,Mimmo Dani,Andrea Bove
tt0215993,Naoko Iijima,Tsuyoshi Kusanagi,Hiroyuki Yabe,Kotomi Kyôno,Tetsuya Bessho,Shigemitsu Ogi,Shinsuke Kyo,Shinsuke Aoki,Yûko Itô,Yûzô Kayama
tt0216207,Roger Shank,Lawrence Trilling,J.D. Smith,Bill Neenan,Randall Slavin,Teressa McKillop,Razel Wolf,Stacey Nicolite,Dick Harris,Sharon Powers
tt0216253,Satya Esquenazi,Cécilia Bletterie,Anne De Broca,Marie-Luce David,Magali Dieux,Carole Franck,Léa Gabriele,Isabelle Leprince,Valérie Lubat,Manon Rony
tt0216292,Diane Flacks,Michael McMurtry,Leah Cole,Dylan Wagner,James Downing,Crystal Townshend,Katherine Trowell,Janet Kidder,Christine Donato,Kent Staines
