tt0163882,Tzur Hadassim,"6,4",1999
tt0164221,Virtual Sexuality,"5,1",1999
tt0163889,Valerie Flake,"6,0",1999
tt0163580,Kínai védelem,"6,7",1999
tt0163988,Bringing Out the Dead,"6,8",2000
tt0163579,Chill Factor,"5,2",2001
tt0164016,Desert Thunder,"3,7",2000
tt0163519,Az alkimista és a szüz,"5,9",1999
tt0164368,Au coeur du mensonge,"6,6",1999
tt0163776,Egy tél az Isten háta mögött,"7,0",1999
tt0163893,Verses,"7,5",1999
tt0164085,Limbo,"7,0",1999
tt0164114,Drive Me Crazy,"5,8",2000
tt0163747,Midnight Temptations 2,"3,2",1999
tt0163318,A Table for One,"5,2",1999
tt0163559,The Book of Stars,"6,8",1999
tt0164877,"Sexo, pudor y lágrimas","6,5",1999
tt0164756,Mifunes sidste sang,"7,1",1999
tt0165086,The Secret Life of Girls,"5,3",1999
tt0165196,Molokai: The Story of Father Damien,"6,8",2000
tt0165461,Saturn,"5,4",1999
tt0165454,The Runner,"5,6",1999
tt0165833,Into His Arms,"5,8",1999
tt0166177,Eight Lanes in Hamilton,"7,0",2001
tt0165773,Felicia's Journey,"7,0",2000
tt0166252,The Love Letter,"5,5",2000
tt0165798,Ghost Dog: The Way of the Samurai,"7,5",2000
tt0166175,East Is East,"6,9",2000
tt0165859,Liberty Heights,"7,0",1999
tt0166283,Návrat ztraceného ráje,"4,7",1999
tt0165643,Black and White,"5,0",2000
tt0166001,Two Bad Mice,NO DATA,1999
tt0165854,The Limey,"6,9",2000
tt0166195,Foolish,"4,9",1999
tt0166635,Hans Staden,"6,6",1999
tt0166811,Southern Cross,"4,1",1999
tt0166601,Mr. Rice's Secret,"5,7",2001
tt0168501,The Best Man,"6,7",1999
tt0167404,The Sixth Sense,"8,2",1999
tt0167215,Interceptors,"3,8",1999
tt0166896,The Straight Story,"8,0",1999
tt0167940,Flying Changes,"6,7",1999
tt0167976,Happy End,"4,6",1999
tt0168805,Four Days,"5,5",1999
tt0166160,The Darkest Light,"5,7",2000
tt0169272,Straight Shooter,"5,0",1999
tt0168199,Sunburn,"6,4",2001
tt0169161,Question of Privilege,"5,0",1999
tt0166485,Anna and the King,"6,7",2000
tt0167926,Les enfants du marais,"7,4",1999
tt0167179,Gierig,"4,4",2000
tt0167331,Pelísky,"8,1",1999
tt0166687,Die letzte Station,"6,6",1999
tt0167245,Kure melancholik,"6,5",1999
tt0166943,Music of the Heart,"6,8",2000
tt0167336,Pikkusisar,"5,8",1999
tt0168785,Final Voyage,"3,7",1999
tt0168080,Muertos de risa,"6,5",1999
tt0168563,Can't Be Heaven,"5,6",1999
tt0168794,The Five Senses,"6,7",2000
tt0169339,Trois ponts sur la rivière,"7,1",1999
tt0168848,Harlem Aria,"5,9",1999
tt0168987,Better Than Chocolate,"6,1",2000
tt0169347,Undercover Angel,"6,5",1999
tt0168942,The Last Best Sunday,"5,9",1999
tt0169346,Under the Rainbow,"5,7",1999
tt0169547,American Beauty,"8,3",2000
tt0169190,Rollercoaster,"6,1",1999
tt0170157,Wayward Son,"6,2",1999
tt0170223,"Rakkaudella, Maire","6,6",1999
tt0170568,Touched,"6,2",1999
tt0171326,Forbidden Sins,"4,1",1999
tt0171698,Rites of Passage,"5,9",1999
tt0171049,Airspeed,"3,7",2000
tt0170259,Luna Papa,"7,2",2000
tt0170626,Zhen xin hua,"6,0",1999
tt0172338,Il dolce rumore della vita,"6,2",1999
tt0171851,"Tsatsiki, morsan och polisen","6,0",2000
tt0170351,Pan Tadeusz,"6,1",1999
tt0170407,Pizza King,"5,4",1999
tt0170718,The Trouble with Perpetual Deja-Vu,"6,1",1999
tt0171576,No Vacancy,"4,7",1999
tt0172477,Fuori dal mondo,"7,2",1999
tt0171311,Family Tree,"5,8",2000
tt0172396,The End of the Affair,"7,0",2000
tt0171340,Getting to Know You,"6,9",1999
tt0172726,Light It Up,"6,0",1999
tt0172627,Body Shots,"4,9",2001
tt0171804,Boys Don't Cry,"7,5",2000
tt0171685,Ratcatcher,"7,5",2000
tt0171865,Wonderland,"7,1",2000
tt0172518,Guardami,"5,6",1999
tt0172493,"Girl, Interrupted","7,3",2000
tt0172469,Free Fall,"4,3",1999
tt0173275,Superlove,"5,1",1999
tt0172704,Lal Baadshah,"3,3",1999
tt0173298,"Südsee, eigene Insel","5,8",1999
tt0173387,Ungfrúin góða og húsið,"6,2",1999
tt0174335,Wenti bu da,NO DATA,1999
tt0174268,The Third Miracle,"6,5",2000
tt0173171,Schlaraffenland,"5,6",1999
tt0173450,"Wer liebt, dem wachsen Flügel...","3,9",1999
tt0173910,Running Free,"5,4",2000
tt0174330,Vénus beauté (institut),"6,3",1999
tt0175593,Enemy Action,"3,9",2001
tt0175605,Falling to Peaces,"6,4",1999
tt0174204,Simpatico,"4,7",2000
tt0175159,Shiloh 2: Shiloh Season,"5,9",1999
tt0174640,Misery Harbour,"6,1",1999
tt0175536,Freeway II: Confessions of a Trickbaby,"5,4",2000
tt0174856,The Hurricane,"7,6",2000
tt0175523,Charming Billy,"6,3",1999
