tt0325675,Fizuli Caferof,Gülayse Erkoc,Hasbiye Günay,Kadir Kaymaz,Ismail Hakki Taslak,Ahmet Uluçay,Boncuk Yilmaz,Mustafa Çoban,,
tt0325950,Damian Chapa,Sal Lopez,Emilio Rivera,Jennifer Tilly,Faye Dunaway,Ismael 'East' Carlo,Joanna Pacula,Robert Wagner,Gary Busey,Stacy Keach
tt0326828,Sharon Stone,Rupert Everett,Julian Wadham,Michael Cochrane,Anne Lambton,Jim Piddock,Richard McMillan,Mimi Kuzyk,Emily VanCamp,Tamara Hope
tt0325733,Daniel Brühl,August Diehl,Anna Maria Mühe,Jana Pallaske,Thure Lindhardt,Verena Bukal,Julia Dietze,Buddy Elias,Luc Feit,Marius Frey
tt0327717,Antonie Kamerling,Daphne Bunskoek,Beau van Erven Dorens,Chantal Janzen,Trudy Labij,Guus Dam,Roeland Fernhout,Tara Elders,Cindy Belliot,Hugo Konings
tt0328107,Denzel Washington,Christopher Walken,Dakota Fanning,Radha Mitchell,Marc Anthony,Giancarlo Giannini,Mickey Rourke,Rachel Ticotin,Roberto Sosa,Jesús Ochoa
tt0329030,Hayden Panettiere,Ryan Kelley,Armin Mueller-Stahl,Kim Myers,George De La Pena,Michael Angarano,Peter Horton,Kyle Hansen,Ted Roisum,Ayanna Berkshire
tt0328316,Pedro Cardoso,Miguel Falabella,Fernanda Montenegro,Camila Pitanga,Fernando Torres,Stênio Garcia,Enrique Diaz,Jean Pierre Noher,Mauro Mendonça,Tony Tornado
tt0330702,Penélope Cruz,Sergio Castellitto,Claudia Gerini,Natalia Barcelò,Lina Bernardi,Flavio Brunetti,Giorgio Careccia,Pietro Castellitto,Paola Cerimele,Anna Elisa Cordisco
tt0330080,Stéphane Freiss,Bérénice Bejo,Peter Coyote,Paola Perez,Lionel Abelanski,Laurent Bateau,Stéphan Guérin-Tillié,Olivier Sitruk,François Berléand,Valérie Benguigui
tt0329953,Joel Núñez,Audry Gutiérrez Alea,Enrique Pinti,David Andriole,Vladimir Cruz,Raúl Pomares,Verónica Lynn,Carmen Daysi Rodriguez,Martina Perret,Ever Alvarez
tt0329088,Miou-Miou,Jean-Pierre Léaud,Morgan Marinne,Marilyne Canto,Julie-Marie Parmentier,Yolande Moreau,Gabriel Arcand,Philippe Grand'Henry,Pascale Montpetit,Olivier Gourmet
tt0328993,Ricky Schroder,Paulina Gálvez,Eric Balfour,Abel Folk,Ana María Montero,Marta Nieto,Joan Minguell,Dean Haglund,Sergi Mateu,Rachael E. Stevens
tt0330220,Derrick 'D-Reck' Dixon,Tyte Eyez,Floyd Dixon,Scarface,Noke-D.,Reynaldo Rey,Lil' Troy,Big Moe,Dirty Dollar$,Rodney Winfield
tt0328875,Justin Long,Wendie Malick,Ed Begley Jr.,Stephen Root,Danica McKellar,Megan Cavanagh,Mark DeCarlo,Tippi Hedren,Clint Howard,Sam Huntington
tt0330793,Thomas Jane,John Travolta,Samantha Mathis,Laura Harring,A. Russell Andrews,Omar Avila,James Carpinello,Mark Collie,Russell Durham Comegys,Antoni Corone
tt0330778,Joe Mantegna,Galatea Ranzi,Toni Bertorelli,Laurent Terzieff,Sandro Lombardi,Vernon Dobtcheff,Giacinto Palmarini,Massimo Wertmüller,Alberto Bognanni,Andy Luotto
