0,1,2,3
tt3914332,(Dean),"6,3",2017
tt3911850,Almosting It,"5,4",2016
tt3913244,The Carer,"6,5",2016
tt3917210,"Life, Animated","7,4",2017
tt3918774,The Code of Cain,"3,3",2016
tt3920890,Heartland,"6,1",2016
tt3919086,Sur les traces de ma mère,"7,3",2016
tt3920264,Away from Everywhere,"7,0",2016
tt3922062,Ponto Zero,"6,7",2016
tt3924754,Resurrecting McGinn(s),"7,0",2016
tt3923750,Dinner with the Alchemist,"6,2",2016
tt3918584,Mais Forte que o Mundo: A História de José Aldo,"7,1",2016
tt3924068,Pablo,"5,1",2016
tt3922678,How Not to Work & Claim Benefits: (and Other Useful Information for Wasters),"6,3",2016
tt3922798,The Siege of Jadotville,"7,2",2016
tt3924186,Where Hearts Lie,"7,5",2016
tt3946032,The Addition,NO DATA,2016
tt3946960,Chapter & Verse,"6,4",2016
tt3948764,Chicago Rot,"4,9",2017
tt3951908,Neither Wolf Nor Dog,"7,4",2018
tt3953186,The Tribe,"4,5",2016
tt3952614,NY84,"5,4",2016
tt3956322,Il traduttore,"4,8",2016
tt3954660,Suntan,"6,6",2016
tt3958780,Equity,"5,6",2016
tt3956414,"Madame B., histoire d'une Nord-Coréenne","6,8",2017
tt3960412,Popstar: Never Stop Never Stopping,"6,7",2016
tt3962252,Tourbillon,"5,9",2016
tt3963812,Dragonfly,"4,8",2016
tt3963766,A Journey to a Journey,NO DATA,2016
tt3962632,Experience the Knowing,NO DATA,2016
tt3967922,Before 'I Do',"6,5",2018
tt3963088,"3,000",NO DATA,2016
tt3969208,Trust Fund,"4,8",2017
tt3969132,Buddhanum Chaplinum Chirikkunnu,NO DATA,2016
tt3969688,La supplication,"7,5",2016
tt3970256,Rwanda & Juliet,"7,5",2016
tt3976144,The Monster,"5,4",2019
tt3975966,Carbon Canyon,NO DATA,2018
tt3975604,Halcyon Dreams,"9,4",2016
tt3974638,Icheri Sheher,"6,7",2016
tt3974320,Bieffekterna,"4,2",2017
tt3978152,Boonville Redemption,"6,5",2019
tt3978318,Bad Girl,"4,5",2016
tt3983782,The Red Umbrella Diaries,NO DATA,2016
tt3983694,Nasty Piece of Work,"4,4",2016
tt3982118,Adam Green's Aladdin,"6,3",2016
tt3985248,Alt det vakre,"5,9",2016
tt3985560,Più libero di prima,NO DATA,2016
tt3986108,Brennan,"7,2",2016
tt3995026,Ulterior Motives: Reality TV Massacre,"7,5",2016
tt3995296,9 Line,NO DATA,2016
tt3994166,One Church,"5,2",2016
tt3990782,Radio Dreams,"6,0",2017
tt3995110,Reykjavík,"6,0",2016
tt3996638,Tsunagaru,NO DATA,2016
tt3996414,Blur Circle,"7,3",2016
tt4003794,History's Future,"5,6",2016
tt4005986,Bromance,NO DATA,2021
tt4002210,Threshold,"4,1",2019
tt4005894,Una nobile causa,"5,3",2016
tt4004092,The Big Spoon,"7,3",2016
tt4007248,Hurricane Bianca,"5,8",2016
tt4011010,Red Billabong,"4,1",2016
tt4010848,Lost Solace,"4,4",2017
tt4010204,Hara Kiri,"4,5",2016
tt4016934,Ah-ga-ssi,"8,1",2017
tt4015996,The Arbalest,"5,7",2016
tt4017052,Pericle il nero,"5,8",2016
tt4018040,Angelita la doctora,"6,4",2016
tt4019560,Exposed,"4,3",2016
tt4019928,Wasted Days,NO DATA,2016
tt4020272,Cents,"6,8",2016
tt4020644,Moondraam Ullaga Por,"4,3",2016
