tt0079644,Slamet Rahardjo,Rachmat Hidayat,Sardono W. Kusumo,El Manik,Jenny Rachman,Maruli Sitompul,Soerip,Mang Udel,,
tt0215139,Hugo Weaving,Natalia Novikova,David Wenham,Rebecca Frith,Sacha Horler,Helen Dallimore,Alan Lovell,Felicity Price,Laurie Foell,Todd William Worden
tt0215519,Ángela Molina,Herbert Knaup,Dimitris Katalifos,Rosana Pastor,Agis Emmanouil,Themis Bazaka,Maria Skoula,Despo Diamantidou,Mihalis Mitrousis,Nicholas Bodeux
tt0215750,Jude Law,Ed Harris,Joseph Fiennes,Rachel Weisz,Bob Hoskins,Ron Perlman,Eva Mattes,Gabriel Thomson,Matthias Habich,Sophie Rois
tt0216196,Mira Sorvino,Olivier Martinez,Féodor Atkine,Alida Valli,Peter Berling,Fermí Reixach,Luis Tosar,Jorge Bosch,Yohana Cobo,Carlos Castañon
tt0217085,Philippe Bas,Marine Delterme,Patricia Farfan Villena,Maruschka Detmers,Patrick Chesnais,Sergi López,Antoine Pereniguez,Natalia Cárdenas,,
tt0217824,Paul Nicholls,Roland Manookian,Phil Daniels,Jamie Foreman,Danny Dyer,Dani Behr,Richard Driscoll,David Thewlis,Sid Mitchell,Alexis Rodney
tt0217979,John Bradley,Tom Arnold,Ice-T,Amanda Pays,Cathy Lee Crosby,Pat Harrington Jr.,Edward Albert,Michael Dudikoff,Mary Jo Catlett,Richard Biggs
tt0217100,Alexis Loret,Adrien Michaux,Christelle Prot,Anna Bielecka,Claude Merlin,Xavier Denamur,Laurène Cheilan,Sophie Delage,Alexandra Fournier,Cécile de France
tt0217978,Drea de Matteo,Lillo Brancato,Lisa Valens,Ice-T,Victor Argo,Denia Brache,Janis Corsair,Gloria Irizarry,Naomi Morales,Andrew Fiscella
tt0219327,Ian Hart,Kelly Macdonald,Brian Cox,Alun Armstrong,Tommy Flanagan,Iain Cuthbertson,Una McLean,Jimmy Chisholm,Jimmy Yuill,Richard E. Grant
tt0218411,Armin Mueller-Stahl,Nthati Moshesh,Paterson Joseph,Seputla Sebogodi,Desmond Dube,Anna-Mart van der Merwe,Christopher Kubheka,Gift Leotlela,Jeremia Ramasita,Nakedi Ribane
tt0219822,Tim Robbins,Patricia Arquette,Rhys Ifans,Ken Magee,Sy Richardson,David Warshofsky,Hilary Duff,Stanley DeSantis,Peter Dinklage,Toby Huss
tt0218000,Natasha Little,Nick Moran,Ioan Gruffudd,Imelda Staunton,Rachael Stirling,Tom Wilkinson,Diana Coupland,Michael Bertenshaw,Daniel Brocklebank,Elizabeth McKechnie
tt0217664,Kieran Mulroney,Annabeth Gish,Darren E. Burrows,J.R. Richards,Andrea Atkins,Pat Hingle,Tess Harper,Steven Schub,Laurel Holloman,Barry Bell
tt0218323,Jack Rubio Jr.,Brytane Garvin,Cameron Kuykendall,Kirk Harris,Jack Rubio,Gareth Williams,Tony Longo,Renée Humphrey,Ron Gilbert,Art Chudabala
tt0216982,Danny Hoch,Elvis Costello,Q-Tip,Eric McCollum,Denee Rivera,Justin 'DJ' Spaulding,Mary J. Blige,Snow,Bobbito Garcia,Hassan Johnson
tt0218817,Ryan Phillippe,Tim Robbins,Rachael Leigh Cook,Claire Forlani,Douglas McFerran,Richard Roundtree,Tygh Runyan,Yee Jee Tso,Nate Dushku,Ned Bellamy
tt0218107,Jonathan Wade-Drahos,Andre Khabbazi,Brian Lane Green,Kiersten Warren,Daniel Kucan,Jim J. Bullock,Darryl Stephens,Bruce Vilanch,Randal Kleiser,Paul Lekakis
tt0220005,Billy Wirth,Jennifer Rubin,Corey Glover,Marlene Forte,Rainer Judd,Dwier Brown,Andres Faucher,Steven Gilborn,Georgia Simon,Rod Britt
tt0219369,Richard Berry,Elsa Zylberstein,Pascal Greggory,Bernard Le Coq,Vincent Martinez,Virginie Lanoué,Nicolas Silberg,Hélène Duc,Thierry Heckendorn,Pascal Demolon
tt0218516,Marusha,Marie Zielcke,Nadeshda Brennicke,Baki Davrak,Ben Becker,Katy Beale,Meret Becker,Milena Fessmann,Alexander Hacke,Mick Harvey
tt0218922,Antonio Banderas,Angelina Jolie,Thomas Jane,Jack Thompson,Gregory Itzin,Allison Mackie,Joan Pringle,Cordelia Richards,James Haven,Pedro Armendáriz Jr.
tt0219965,Bruce Willis,Billy Bob Thornton,Cate Blanchett,Troy Garity,Brían F. O'Byrne,Stacey Travis,Bobby Slayton,January Jones,Azura Skye,Peggy Miley
tt0219687,Jonelle Allen,RaéVen Kelly,Tyrone Burton,Donta' Snider,Ernest Johnson,Merlin Santana,Ken Lawson,Todd Bridges,Vickilyn Reynolds,LB Zimmerman
tt0219957,Eric Mabius,Marley Shelton,Aidan Campbell,Dale Watson,R. Lee Ermey,Jesse De Luna,Bill Sage,Lew Temple,Elizabeth Peña,Tony Frank
